,,,,,
,,,,,
State,X,Y,Date,Report ID,Description
,-142.9,61.5,6/1/2000,637, Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve
,-132.7982,55.1872,6/17/1905,2917, Family observes large biped from car
,-132.8202,55.2035,2/1/2004,7963, Sasquatch walks past window of house at night
,-141.5667,62.9375,6/1/2004,9317," Driver on Alcan Highway has noon, road encounter near Alaska-Canada border"
,-149.7853,61.0595,2/1/2004,13038," Snowmobiler has encounter in deep snow near Potter, AK"
,-141.3165,62.77335,4/1/2008,23666, Passenger on the Alcan Highway sees a tall bipedal creature walk across the road
,-147.8142,64.89139,7/1/2009,26604, Daytime sighting of reddish-colored bigfoot near Fairbanks
,-85.16235,32.31435,September 1981 and 1982,179," Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving"
,-87.32655,33.28375,7/1/1999,245," Two outdoorsman fishing, loud vocalizations, footsteps heard"
,-86.4559,34.95605,11/1/1983,416, A resident's early evening sighting next to his home near New Market
,-86.66465,34.5422,10/1/2000,435, Daylight sighting by husband and wife near home near Valhermosa Springs
,-87.02025,34.9263,8/1/1993,451, Young man has sighting near home
,-87.50905,34.80405,"79, 80, 99",577, Man has repeated visits at family farm
,-87.1105,34.92855,5/31/1905,799," Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water"
,-88.17885,33.13195,11/1/1980,832," Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes ar"
,-88.08305,31.4515,1/1/1997,961," Motorist confronted by hairy, man-like creature on roadside"
,-87.45876,33.97575,6/12/1905,1022, Hunters observe creature walking in the woods
,-87.96095,31.58255,12/1/1996,1907," Motorist sees Bigfoot like creature, hears scream"
,-86.6333,34.4881,6/22/1905,3028, Daylight sighting by lady while her husband was clearing trees
,-87.00665,34.6802,6/23/1905,3296, Man on his way to work  sees sasquatch crossing road in his headlights
,-87.09069,31.16,2/1/2000,4743, Nighttime sighting by two teens in southern Conecuh County
,-88.14999,33.13,6/1/1958,5954, Daylight sighting at eastern dike of East Lagoon in Aliceville
,-87.35664,33.21145,8/1/2003,6938, Tracks and feces found in freshly turned field
,-87.31821,33.26035,6/1/2003,7031, Lady sees large hairy creature on the side of the road
,-86.52105,34.7325,5/2/1905,7235, Recollection of an afternoon sighting on Green Mountain
,-85.4258,32.6218,1/1/2000,7427, Four youths have harrowing experience in Alabama backwoods. 
,-86.64066,33.3674,3/1/2004,8171, Nighttime Sighting on County Road
,-86.4664,33.6205,10/1/1986,8679, Adult recalls childhood sighting at dusk near Moody
,-86.7891,33.8132,9/1/1979,10498, Hiker has daylight sighting near Warrior.
,-87.24547,32.30673,7/1/1985,14082, Daylight road crossing sighting near Orrville
,-86.99782,31.00002,December 2002;2006,15102, Daylight sighting by hunter near the Alabama / Mississippi border
,-85.705,32.43,1/1/2007,17455, Sighting by duck hunters in swamp area within Tuskegee National Forest
,-85.625,33.35,6/1/2005,17480, Sighting by a group of campers in Cheaha Mountain State Park
,-86.17524,34.27607,6/14/1905,18043, Evening sighting by family driving by Guntersville Lake
,-86.5,33.59,7/1/2007,22539, Roadside Sighting near Moody
,-86.581,32.184,4/1/2001,24646, Early morning sighting by a fisherman south of Montgomery
,-86.17122,33.36305,6/21/1905,25238, Woman recalls encountering a creature while driving through Talladega National Forest
,-86.6575,34.71139,2/1/2009,25559, Exec on business trip has sighting from balcony of hotel near Huntsville
,-87.91833,30.7113,9/1/1979,26513, Man recalls a sighting after Hurricane Frederic north of Mobile
,-86.4891,32.76967,5/1/2000,26886, Daylight sighting while riding ATV on his private property outside Verbena
,-85.35995,31.86801,1/1/1980,27067, Motorists pulled over on a rural highway at night describe standoff in headlights east of Clayton
,-87.53395,33.8957,3/1/2010,27459, Motorist sights dirty-white upright creature near the town of Kansas
,-87.53395,33.8957,6/12/1905,27480, Woman recounts childhood sighting of a white creature near the town of Kansas
,-87.77686,34.70112,1/1/2005,27568, Daylight sighting of a Bigfoot outside Muscle Shoals
,-87.06486,31.13586,6/5/1905,33307, Memory told of a close encounter while riding a bike as a teen in Brewton
,-86.54527,31.34781,10/1/1978,35293, Daylight observation remembered of a Bigfoot holding a baby pig near Andalusia
,-88.12475,33.41574,5/1/2012,35475, Daylight road crossing near Vernon
,-88.26291,31.25385,2/1/2008,37038, Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale
,-85.48985,33.82162,11/1/2012,37094, Multiple sightings close to Lookout Mountain near Gadsden
